,GameDuration,Winner,firstTower,firstInhibitor,firstDragon,firstRiftHerald,baronKillsdiff,riftHeraldKillsdiff,dragonKillsdiff,FIRE_DRAGONdiff,EARTH_DRAGONdiff,firstBaron,FIRE_DRAGONSoul,AIR_DRAGONdiff,ELDER_DRAGONdiff,WATER_DRAGONdiff,EARTH_DRAGONSoul,WATER_DRAGONSoul,AIR_DRAGONSoul
3434217627,947,1,-1.0,1.0,,,0,0,0,,,,,,,,,,
3368026274,1773,1,-1.0,1.0,1.0,1.0,0,2,4,1.0,,-1.0,,1.0,,2.0,,1.0,
3323199651,1067,-1,-1.0,-1.0,1.0,1.0,0,1,0,-1.0,,,,,,1.0,,,
3368026276,1101,-1,1.0,-1.0,,,0,0,0,,,,,,,,,,
3407347877,2169,1,1.0,1.0,1.0,1.0,0,1,-1,-1.0,1.0,-1.0,,,,-1.0,,,
3435004070,1468,1,1.0,,1.0,1.0,0,1,3,1.0,,,,1.0,,1.0,,,
3441950888,1350,-1,1.0,,1.0,1.0,-1,0,-1,-1.0,1.0,-1.0,,,,-1.0,,,
3448111275,1178,-1,1.0,-1.0,-1.0,1.0,0,0,-1,-1.0,,,,1.0,,-1.0,,,
3419537579,1765,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-4,-1.0,,-1.0,,-2.0,,-1.0,,,-1.0
3401973936,1755,1,1.0,1.0,1.0,1.0,-1,0,0,,1.0,-1.0,,1.0,,-2.0,,,
3410100401,1341,-1,-1.0,,-1.0,-1.0,0,0,-1,-1.0,,,,1.0,,-1.0,,,
3413115064,1471,-1,-1.0,-1.0,1.0,-1.0,-1,-2,1,,1.0,-1.0,,1.0,,-1.0,,,
3423862968,1420,1,1.0,1.0,-1.0,1.0,1,2,0,,2.0,1.0,,-1.0,,-1.0,,,
3358458050,1508,1,1.0,1.0,1.0,1.0,0,2,3,,1.0,,,1.0,,1.0,,,
3356885187,917,-1,-1.0,,-1.0,-1.0,0,-1,-2,-1.0,,,,,,-1.0,,,
3443916996,1358,1,1.0,-1.0,-1.0,,0,0,1,1.0,1.0,,,,,-1.0,,,
3396337861,1480,-1,-1.0,-1.0,1.0,1.0,0,0,-1,-1.0,,,,-1.0,,1.0,,,
3428581574,1146,-1,1.0,1.0,1.0,,-1,0,1,,1.0,-1.0,,1.0,,-1.0,,,
3445752005,1290,-1,-1.0,1.0,,,0,0,0,,,,,,,,,,
3444572359,1501,-1,1.0,-1.0,,,0,0,0,,,,,,,,,,
3444703432,1282,-1,1.0,1.0,,,0,0,0,,,,,,,,,,
3441164490,1924,-1,1.0,1.0,-1.0,1.0,0,2,-4,,-1.0,1.0,,-2.0,,-1.0,,,-1.0
3429630160,1591,1,-1.0,1.0,-1.0,1.0,1,2,2,,-1.0,1.0,,2.0,,1.0,,,
3438543058,1871,1,-1.0,1.0,1.0,-1.0,1,-2,-1,-3.0,,1.0,,1.0,,1.0,,,
3436576981,1259,-1,-1.0,-1.0,,,0,0,0,,,,,,,,,,
3424911576,1120,1,1.0,1.0,1.0,,0,0,2,,1.0,,,,,1.0,,,
3446538457,1025,1,-1.0,1.0,,,0,0,0,,,,,,,,,,
3425566938,1167,1,-1.0,-1.0,,,0,0,0,,,,,,,,,,
3411542232,1694,1,-1.0,1.0,-1.0,1.0,0,1,2,2.0,,,,1.0,,-1.0,,,
3423863006,1028,-1,-1.0,-1.0,1.0,,-1,0,2,1.0,0.0,-1.0,,,,1.0,,,
3426877665,1847,-1,-1.0,-1.0,1.0,,0,0,0,0.0,-1.0,,,,,1.0,,,
3436183779,1640,-1,-1.0,-1.0,1.0,-1.0,-1,0,0,,-1.0,-1.0,,1.0,,0.0,,,
3440115940,1392,-1,-1.0,,1.0,-1.0,-1,-1,3,,1.0,-1.0,,1.0,,1.0,,,
3436839145,1306,1,1.0,,-1.0,,0,0,-1,1.0,-1.0,,,,,-1.0,,,
3441819886,1409,-1,-1.0,,1.0,1.0,-1,2,-1,1.0,-1.0,-1.0,,,,-1.0,,,
3437101295,1902,-1,-1.0,1.0,-1.0,-1.0,-1,0,-4,-1.0,-2.0,-1.0,,-1.0,,,-1.0,,
3434873078,2226,1,1.0,1.0,-1.0,1.0,1,1,0,,-1.0,1.0,,2.0,,-1.0,,,
3445358839,1444,1,1.0,,1.0,1.0,1,2,3,,1.0,1.0,,1.0,,1.0,,,
3441033464,1426,-1,1.0,-1.0,-1.0,1.0,-1,0,-3,,-1.0,-1.0,,-1.0,,-1.0,,,
3431596282,2527,-1,-1.0,-1.0,1.0,-1.0,-1,-2,-2,1.0,,-1.0,,-2.0,,-1.0,,,-1.0
3441950972,1104,-1,-1.0,-1.0,-1.0,,-1,0,-3,-1.0,-1.0,-1.0,-1.0,,,-1.0,,,
3431596288,1266,-1,-1.0,-1.0,-1.0,-1.0,0,-1,-3,-1.0,-1.0,,,-1.0,,,,,
3442999553,1288,-1,1.0,-1.0,,,0,0,0,,,,,,,,,,
3447456000,1656,-1,1.0,,1.0,1.0,-1,1,-2,-1.0,-2.0,-1.0,,,,1.0,,,
3388211462,1541,-1,-1.0,-1.0,-1.0,-1.0,-1,-2,0,-1.0,,-1.0,,-1.0,,2.0,,,
3422421261,1350,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-3,-1.0,-1.0,-1.0,,,,-1.0,,,
3415212302,1252,1,1.0,1.0,,,0,0,0,,,,,,,,,,
3395420430,1205,-1,-1.0,-1.0,1.0,-1.0,0,-2,-1,-1.0,,,,-1.0,,1.0,,,
3337879822,1438,-1,-1.0,-1.0,-1.0,1.0,0,0,-3,-1.0,-1.0,,,-1.0,,,,,
3437232402,1154,-1,-1.0,-1.0,,,0,0,0,,,,,,,,,,
3411149075,1829,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-2,-2.0,,-1.0,,-1.0,,1.0,,,
3441688850,965,-1,-1.0,,-1.0,-1.0,0,-1,-2,-1.0,-1.0,,,,,,,,
3433431314,1509,1,1.0,1.0,-1.0,1.0,1,2,-3,,-1.0,1.0,,-1.0,,-1.0,,,
3447324947,1248,-1,-1.0,,-1.0,-1.0,0,-1,-3,-1.0,-1.0,,,-1.0,,,,,
3438018840,1964,1,1.0,1.0,1.0,1.0,0,2,3,,1.0,,,1.0,,1.0,,1.0,
3447456024,1411,1,1.0,1.0,,,0,0,0,,,,,,,,,,
3442737434,1955,-1,1.0,-1.0,-1.0,1.0,-1,2,-3,-3.0,,-1.0,-1.0,-1.0,,1.0,,,
3434610969,946,1,1.0,,1.0,1.0,0,1,1,,,,,,,1.0,,,
3433169181,1922,-1,-1.0,-1.0,-1.0,,1,0,-2,-1.0,,1.0,,0.0,,-1.0,,,
3425304862,1526,1,-1.0,1.0,,,0,0,0,,,,,,,,,,
3412853023,1546,-1,-1.0,-1.0,1.0,-1.0,0,-2,-1,-1.0,-1.0,,,1.0,,,,,
3425960221,1296,1,1.0,-1.0,,,0,0,0,,,,,,,,,,
3423863073,1346,-1,-1.0,-1.0,1.0,,-1,0,-2,-2.0,1.0,-1.0,,-1.0,,,,,
3428450595,1219,1,1.0,-1.0,1.0,,-1,0,4,1.0,,-1.0,,1.0,,2.0,,1.0,
3401974053,1628,-1,-1.0,-1.0,-1.0,-1.0,-1,-2,-4,-1.0,,-1.0,,-2.0,,-1.0,,,-1.0
3375497510,1502,1,1.0,1.0,-1.0,-1.0,0,-1,1,-1.0,1.0,,,,,1.0,,,
3436577062,731,1,1.0,1.0,,,0,0,0,,,,,,,,,,
3430809896,1814,-1,1.0,-1.0,1.0,,0,0,-2,-1.0,1.0,,,,,-2.0,,,
3368026417,1631,1,1.0,1.0,-1.0,1.0,1,1,0,-1.0,,1.0,,1.0,,0.0,,,
3428450611,1131,-1,-1.0,,-1.0,-1.0,0,-1,0,,1.0,,,-1.0,,,,,
3432251701,1348,-1,1.0,1.0,1.0,,-1,0,4,1.0,,-1.0,,2.0,,1.0,,,1.0
3334471991,2033,-1,1.0,-1.0,-1.0,-1.0,-1,-1,1,1.0,-1.0,-1.0,,1.0,,,,,
3428188473,1084,-1,-1.0,-1.0,-1.0,-1.0,0,-1,-2,,-1.0,,,-1.0,,,,,
3399876921,966,-1,-1.0,-1.0,,,0,0,0,,,,,,,,,,
3434479933,1232,-1,-1.0,-1.0,,,0,0,0,,,,,,,,,,
3424649534,1881,1,1.0,1.0,1.0,-1.0,2,-1,3,1.0,,1.0,,1.0,,1.0,,1.0,
3429237054,1267,1,1.0,1.0,,,0,0,0,,,,,,,,,,
3439198533,1004,1,1.0,-1.0,,,0,0,0,,,,,,,,,,
3429630280,1741,-1,1.0,-1.0,-1.0,1.0,-1,2,-4,-1.0,-1.0,-1.0,,-2.0,,,,,-1.0
3395551564,1566,-1,-1.0,-1.0,1.0,-1.0,-1,-1,-2,1.0,-1.0,-1.0,,,,-2.0,,,
3404726605,967,1,1.0,,-1.0,1.0,0,1,0,-1.0,,,,1.0,,,,,
3447849294,1388,1,1.0,1.0,-1.0,1.0,0,2,1,-1.0,1.0,,,,,1.0,,,
3425435983,2566,-1,1.0,-1.0,1.0,,-1,0,-2,,-1.0,-1.0,,-3.0,1.0,1.0,,,-1.0
3447980369,1809,1,1.0,1.0,1.0,1.0,1,2,4,1.0,2.0,1.0,,,,1.0,1.0,,
3399745874,1570,-1,-1.0,-1.0,1.0,1.0,0,1,1,,1.0,,,-1.0,,1.0,,,
3435004243,598,-1,1.0,,-1.0,,0,0,-1,-1.0,,,,,,,,,
3418882388,707,-1,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1.0,,,,,,,,,
3387162965,2333,-1,1.0,1.0,1.0,1.0,0,1,0,1.0,-2.0,1.0,,1.0,,,,,
3413639510,1567,-1,-1.0,-1.0,-1.0,-1.0,0,-1,-2,,-1.0,,,,,-1.0,,,
3439460696,1797,-1,1.0,-1.0,,,0,0,0,,,,,,,,,,
2859991384,2078,1,-1.0,1.0,1.0,,0,0,4,2.0,,-1.0,1.0,1.0,,1.0,,,
3447718232,1972,-1,-1.0,1.0,-1.0,1.0,-1,0,-5,-1.0,-1.0,-1.0,,,-1.0,-2.0,,-1.0,
3421765977,974,1,1.0,1.0,1.0,,0,0,3,1.0,1.0,,,,,1.0,,,
3447849313,1280,1,1.0,,1.0,-1.0,0,0,0,1.0,,,,-1.0,,,,,
3412197729,2572,-1,-1.0,-1.0,1.0,-1.0,-2,-1,0,1.0,1.0,-1.0,,-2.0,,,,,
3424911715,1649,-1,-1.0,-1.0,-1.0,1.0,-1,0,-4,-1.0,-1.0,-1.0,,-2.0,,,,,-1.0
3438281061,1197,1,1.0,1.0,,,0,0,0,,,,,,,,,,
3415212391,1627,-1,-1.0,-1.0,,,0,0,0,,,,,,,,,,
3444965739,1448,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-4,-2.0,-1.0,-1.0,-1.0,,,-1.0,,,
3436839276,749,-1,-1.0,-1.0,,,0,0,0,,,,,,,,,,
3307995501,1625,1,1.0,1.0,-1.0,1.0,0,0,1,1.0,1.0,,,,,-1.0,,,
3428188529,1521,-1,-1.0,-1.0,-1.0,1.0,-1,0,-1,-1.0,,-1.0,,1.0,,-1.0,,,
3434479987,1751,-1,1.0,-1.0,-1.0,1.0,-1,1,-4,,-1.0,-1.0,,-2.0,,-1.0,,,-1.0
3443917172,1889,-1,-1.0,-1.0,-1.0,,0,0,-4,-1.0,-2.0,,,-1.0,,,-1.0,,
3438543221,1381,-1,-1.0,,-1.0,1.0,-1,0,-3,-1.0,,-1.0,,-1.0,,-1.0,,,
3368288627,1632,1,1.0,1.0,1.0,1.0,1,1,4,1.0,2.0,1.0,,,,1.0,1.0,,
3438412151,939,1,1.0,1.0,,,0,0,0,,,,,,,,,,
3402891639,2311,-1,-1.0,1.0,-1.0,1.0,-1,1,0,0.0,,-1.0,,-1.0,,1.0,,,
3446014323,1890,-1,1.0,-1.0,-1.0,1.0,-1,0,-3,-1.0,-1.0,-1.0,,-1.0,,,,,-1.0
3315597690,1347,-1,-1.0,-1.0,-1.0,1.0,0,0,-3,,-1.0,,,-1.0,,-1.0,,,
3446276475,935,1,1.0,1.0,-1.0,,1,0,-1,-1.0,1.0,1.0,,-1.0,,,,,
3397124474,921,-1,-1.0,,-1.0,1.0,0,1,-2,-1.0,,,,,,-1.0,,,
3258057085,1673,1,1.0,,-1.0,,1,0,-2,-1.0,-2.0,1.0,,,,1.0,,,
3438281086,1414,1,1.0,1.0,-1.0,1.0,1,2,1,1.0,-1.0,1.0,,,,1.0,,,
3368943999,2234,1,-1.0,1.0,1.0,-1.0,-1,-1,5,1.0,1.0,-1.0,,,1.0,2.0,,1.0,
3442868610,1471,1,1.0,1.0,1.0,1.0,1,1,3,1.0,1.0,1.0,,,,1.0,,,
3375497603,1515,1,1.0,1.0,-1.0,-1.0,1,0,2,,-1.0,1.0,,1.0,,2.0,,,
3375497605,921,-1,-1.0,-1.0,,,0,0,0,,,,,,,,,,
3363045767,1893,1,1.0,1.0,-1.0,1.0,0,2,-2,,-1.0,-1.0,,1.0,,-2.0,,,
3422421387,1106,1,1.0,,1.0,1.0,0,2,0,1.0,,,,-1.0,,,,,
3436315019,1257,1,1.0,1.0,,,0,0,0,,,,,,,,,,
3443917198,1355,-1,1.0,-1.0,-1.0,1.0,-1,0,-2,0.0,,-1.0,,-1.0,,-1.0,,,
3430678933,1901,1,1.0,1.0,1.0,1.0,0,2,4,1.0,1.0,1.0,,2.0,,,,,1.0
3415212438,764,1,1.0,1.0,,,0,0,0,,,,,,,,,,
3227124123,1577,1,-1.0,1.0,-1.0,1.0,1,1,0,,-1.0,1.0,,2.0,,-1.0,,,
3413639585,1180,1,1.0,1.0,-1.0,1.0,0,2,0,,-1.0,,,,,1.0,,,
3361604004,855,-1,-1.0,,-1.0,,0,0,-1,-1.0,,,,,,,,,
3422159270,803,-1,-1.0,-1.0,1.0,,0,0,-1,1.0,-1.0,,,,,-1.0,,,
3441951142,779,1,1.0,1.0,1.0,1.0,0,1,1,,,,,,,1.0,,,
3425305001,818,-1,-1.0,-1.0,1.0,,0,0,1,1.0,-1.0,,,,,1.0,,,
3429237165,1340,1,1.0,,1.0,1.0,0,0,3,1.0,1.0,,,1.0,,,,,
3394109870,1446,1,1.0,1.0,-1.0,1.0,1,2,-1,,-1.0,1.0,,-1.0,,1.0,,,
3441033648,1464,1,-1.0,,-1.0,-1.0,0,-1,-2,-1.0,0.0,,,,,-1.0,,,
3430810032,1903,-1,1.0,-1.0,1.0,1.0,-1,2,-1,-1.0,1.0,-1.0,,-1.0,,,,,
3431727538,1868,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-2,-1.0,-1.0,-1.0,,0.0,,,,,
3438018994,934,1,1.0,,1.0,1.0,0,1,2,,,,,1.0,,1.0,,,
3326345653,2109,1,-1.0,-1.0,-1.0,-1.0,0,0,1,1.0,1.0,-1.0,,,,-1.0,,,
3401318839,1106,-1,-1.0,-1.0,1.0,-1.0,0,-2,0,,,,,-1.0,,1.0,,,
3354788281,1517,1,1.0,1.0,1.0,1.0,1,0,0,0.0,-1.0,1.0,,,,1.0,,,
3430810044,1907,-1,1.0,-1.0,1.0,1.0,-1,0,-1,1.0,1.0,-1.0,,-3.0,,,,,
3425698237,1478,1,1.0,1.0,1.0,1.0,1,2,1,,1.0,1.0,,-1.0,,1.0,,,
3436708286,1546,1,1.0,-1.0,,,0,0,0,,,,,,,,,,
3434742206,1285,1,1.0,,1.0,1.0,0,1,2,,1.0,,,,,1.0,,,
3431727552,1343,-1,-1.0,,-1.0,-1.0,-1,-2,-3,-1.0,-1.0,-1.0,,-1.0,,,,,
3389784508,1476,1,1.0,,1.0,1.0,1,1,3,,1.0,1.0,,1.0,,1.0,,,
3445883330,1131,-1,-1.0,,-1.0,-1.0,0,-2,-2,-1.0,-1.0,,,,,,,,
3387687365,1868,-1,1.0,-1.0,1.0,1.0,-1,2,0,1.0,,-1.0,,-2.0,,1.0,,,
3378512326,1723,-1,1.0,-1.0,-1.0,1.0,-1,2,-4,-2.0,-1.0,-1.0,-1.0,-1.0,,,,,
3351249353,961,1,1.0,,1.0,-1.0,0,-1,2,,,,,1.0,,1.0,,,
3322544586,914,-1,-1.0,,-1.0,-1.0,0,-1,-2,-1.0,,,,-1.0,,,,,
3444179404,1262,-1,1.0,-1.0,,,0,0,0,,,,,,,,,,
3429630413,1659,1,-1.0,1.0,1.0,-1.0,1,0,2,,1.0,1.0,,0.0,,1.0,,,
3433169356,1368,-1,1.0,,-1.0,1.0,0,1,-4,-1.0,-2.0,,,-1.0,,,-1.0,,
3417965004,1532,-1,-1.0,-1.0,-1.0,,0,0,-4,-1.0,-2.0,,,,,-1.0,-1.0,,
3407610322,1326,-1,1.0,,1.0,1.0,-1,0,-1,,1.0,-1.0,,-1.0,,-1.0,,,
3428057554,1270,-1,1.0,-1.0,1.0,,0,0,2,1.0,,1.0,,0.0,,1.0,,,
3434349014,1019,1,1.0,1.0,1.0,,1,0,3,1.0,,1.0,,1.0,,1.0,,,
3322675672,1603,-1,1.0,-1.0,1.0,1.0,-1,2,0,1.0,,-1.0,,-2.0,,1.0,,,
3419144664,2100,-1,1.0,1.0,-1.0,-1.0,-1,-1,-3,-1.0,-1.0,-1.0,,,,-1.0,,-1.0,
3445359067,1070,-1,-1.0,1.0,,,0,0,0,,,,,,,,,,
3414819291,1099,1,1.0,1.0,,,0,0,0,,,,,,,,,,
3437363679,996,-1,-1.0,-1.0,,,0,0,0,,,,,,,,,,
3421372896,1926,-1,1.0,-1.0,1.0,1.0,-1,2,2,1.0,1.0,-1.0,,,,0.0,,,
3446014432,772,-1,-1.0,,-1.0,,0,0,-1,,,,,-1.0,,,,,
3414032870,1130,-1,-1.0,1.0,,,0,0,0,,,,,,,,,,
3439329767,968,-1,-1.0,-1.0,,,0,0,0,,,,,,,,,,
3440378344,1722,1,1.0,1.0,1.0,1.0,1,0,4,,1.0,1.0,,1.0,,2.0,,1.0,
3443786215,1022,-1,-1.0,-1.0,,,0,0,0,,,,,,,,,,
3446145511,1958,-1,-1.0,-1.0,-1.0,-1.0,0,-1,-3,-1.0,-1.0,,,-1.0,,,-1.0,,
3427795437,1804,-1,1.0,-1.0,-1.0,1.0,-1,1,-1,1.0,,-1.0,,-1.0,,-1.0,,,
3394765296,1223,-1,-1.0,-1.0,,,0,0,0,,,,,,,,,,
3440771571,1533,1,1.0,,-1.0,1.0,1,2,0,,-1.0,1.0,,-1.0,,2.0,,,
